title,,authors,journal,doi
Early-warning health and process indicators for sentinel surveillance in Madagascar 2007-2011,,"Rajatonirina, Soatiana; Rakotomanana, Fanjasoa; Randrianasolo, Laurence; Razanajatovo, Norosoa Harline; Andriamandimby, Soa Fy; Ravolomanana, Lisette; Randrianarivo-Solofoniaina, Armand Eugène; Reynes, Jean-Marc; Piola, Patrice; Finlay-Vickers, Alyssa; Heraud, Jean-Michel; Richard, Vincent",Online J Public Health Inform,10.5210/ojphi.v6i3.5400
Identification of highly conserved regions in L-segment of Crimean–Congo hemorrhagic fever virus and immunoinformatic prediction about potential novel vaccine,,"Oany, Arafat Rahman; Ahmad, Shah Adil Ishtiyaq; Hossain, Mohammad Uzzal; Jyoti, Tahmina Pervin",Adv Appl Bioinform Chem,10.2147/aabc.s75250
Utilization of the respiratory virus multiplex reverse transcription-polymerase chain reaction test for adult patients at a Korean tertiary care center,,"Ahn, Mi Young; Choi, Seong-Ho; Chung, Jin-Won; Kim, Hye Ryoun",Korean J Intern Med,10.3904/kjim.2015.30.1.96
Unequivocal glycyrrhizin isomer determination and comparative in vitro bioactivities of root extracts in four Glycyrrhiza species,,"Farag, Mohamed A.; Porzel, Andrea; Wessjohann, Ludger A.",J Adv Res,10.1016/j.jare.2014.05.001
Virus-host interactomics: new insights and opportunities for antiviral drug discovery,,"de Chassey, Benoît; Meyniel-Schicklin, Laurène; Vonderscher, Jacky; André, Patrice; Lotteau, Vincent",Genome Med,10.1186/s13073-014-0115-1
"Genomics and infectious disease: a call to identify the ethical, legal and social implications for public health and clinical practice",,"Geller, Gail; Dvoskin, Rachel; Thio, Chloe L; Duggal, Priya; Lewis, Michelle H; Bailey, Theodore C; Sutherland, Andrea; Salmon, Daniel A; Kahn, Jeffrey P",Genome Med,10.1186/s13073-014-0106-2
"MALDI-TOF mass spectrometry and identification of new bacteria species in air samples from Makkah, Saudi Arabia",,"Angelakis, Emmanouil; Yasir, Muhammad; Azhar, Esam I; Papadioti, Anastasia; Bibi, Fehmida; Aburizaiza, Asad S; Metidji, Sarah; Memish, Ziad A; Ashshi, Ahmad M; Hassan, Ahmed M; Harakeh, Steve; Gautret, Philippe; Raoult, Didier",BMC Res Notes,10.1186/1756-0500-7-892
Using Clinicians’ Search Query Data to Monitor Influenza Epidemics,,"Santillana, Mauricio; Nsoesie, Elaine O.; Mekaru, Sumiko R.; Scales, David; Brownstein, John S.",Clinical Infectious Diseases,10.1093/cid/ciu647
Media impact switching surface during an infectious disease outbreak,,"Xiao, Yanni; Tang, Sanyi; Wu, Jianhong",Sci Rep,10.1038/srep07838
Accuracy of using automated methods for detecting adverse events from electronic health record data: a research protocol,,"Rochefort, Christian M; Buckeridge, David L; Forster, Alan J",Implement Sci,10.1186/s13012-014-0197-6
Detection of Respiratory Viruses in Nasopharyngeal Swab and Adenoid Tissue from Children Submitted to Adenoidectomy: Pre- and Postoperative Analysis,,"Biill Primo, Osvaldo Vinícius; Lourenço, Edmir Américo; Passos, Saulo Duarte",Int Arch Otorhinolaryngol,10.1055/s-0034-1368135
Identification of VP1 peptides diagnostic of encephalomyocarditis virus from swine,,"Bai, Juan; Chen, Xinhui; Jiang, Kangfu; Zeshan, Basit; Jiang, Ping",Virol J,10.1186/s12985-014-0226-8
Using internet search queries for infectious disease surveillance: screening diseases for suitability,,"Milinovich, Gabriel J; Avril, Simon M R; Clements, Archie C A; Brownstein, John S; Tong, Shilu; Hu, Wenbiao",BMC Infect Dis,10.1186/s12879-014-0690-1
Bovine respiratory syncytial virus and bovine coronavirus in Swedish organic and conventional dairy herds,,"Wolff, Cecilia; Emanuelson, Ulf; Ohlson, Anna; Alenius, Stefan; Fall, Nils",Acta Vet Scand,10.1186/s13028-014-0091-x
Identification of novel viral receptors with cell line expressing viral receptor-binding protein,,"Mei, Mei; Ye, Jianqiang; Qin, Aijian; Wang, Lin; Hu, Xuming; Qian, Kun; Shao, Hongxia",Sci Rep,10.1038/srep07935
Adverse effects of Influenza A(H1N1)pdm09 virus infection on growth performance of Norwegian pigs - a longitudinal study at a boar testing station,,"Er, Chiek; Lium, Bjørn; Tavornpanich, Saraya; Hofmo, Peer Ola; Forberg, Hilde; Hauge, Anna Germundsson; Grøntvedt, Carl Andreas; Framstad, Tore; Brun, Edgar",BMC Vet Res,10.1186/s12917-014-0284-6
"Knowledge and attitude of healthcare workers about middle east respiratory syndrome in multispecialty hospitals of Qassim, Saudi Arabia",,"Khan, Muhammad Umair; Shah, Shahjahan; Ahmad, Akram; Fatokun, Omotayo",BMC Public Health,10.1186/1471-2458-14-1281
Animal board invited review: advances in proteomics for animal and food sciences,,"Almeida, A. M.; Bassols, A.; Bendixen, E.; Bhide, M.; Ceciliani, F.; Cristobal, S.; Eckersall, P. D.; Hollung, K.; Lisacek, F.; Mazzucchelli, G.; McLaughlin, M.; Miller, I.; Nally, J. E.; Plowman, J.; Renaut, J.; Rodrigues, P.; Roncada, P.; Staric, J.; Turk, R.",Animal,10.1017/s1751731114002602
Characterizing the Transmission Dynamics and Control of Ebola Virus Disease,,"Chowell, Gerardo; Nishiura, Hiroshi",PLoS Biol,10.1371/journal.pbio.1002057
A common feature pharmacophore for FDA-approved drugs inhibiting the Ebola virus,,"Ekins, Sean; Freundlich, Joel S.; Coffee, Megan",F1000Res,10.12688/f1000research.5741.2
Sequencing of the human IG light chain loci from a hydatidiform mole BAC library reveals locus-specific signatures of genetic diversity,,"Watson, Corey T.; Steinberg, Karyn Meltz; Graves, Tina A.; Warren, Rene L.; Malig, Maika; Schein, Jacqueline; Wilson, Richard K.; Holt, Robert A.; Eichler, Evan E.; Breden, Felix",Genes Immun,10.1038/gene.2014.56
Therapeutic vaccination and immunomodulation in the treatment of chronic hepatitis B: preclinical studies in the woodchuck,,"Kosinska, Anna D.; Liu, Jia; Lu, Mengji; Roggendorf, Michael",Med Microbiol Immunol,10.1007/s00430-014-0379-5
Adenovirus Species C Is Associated With Chronic Suppurative Lung Diseases in Children,,"Wurzel, Danielle F.; Mackay, Ian M.; Marchant, Julie M.; Wang, Claire Y. T.; Yerkovich, Stephanie T.; Upham, John W.; Smith-Vaughan, Heidi C.; Petsky, Helen L.; Chang, Anne B.",Clinical Infectious Diseases,10.1093/cid/ciu225
Lower Respiratory Tract Virus Findings in Mechanically Ventilated Patients With Severe Community-Acquired Pneumonia,,"Karhu, J.; Ala-Kokko, T. I.; Vuorinen, T.; Ohtonen, P.; Syrjälä, H.",Clinical Infectious Diseases,10.1093/cid/ciu237
"A comparison of smartphones to paper-based questionnaires for routine influenza sentinel surveillance, Kenya, 2011–2012",,"Njuguna, Henry N; Caselton, Deborah L; Arunga, Geoffrey O; Emukule, Gideon O; Kinyanjui, Dennis K; Kalani, Rosalia M; Kinkade, Carl; Muthoka, Phillip M; Katz, Mark A; Mott, Joshua A",BMC Med Inform Decis Mak,10.1186/s12911-014-0107-5
Minimal within-host dengue models highlight the specific roles of the immune response in primary and secondary dengue infections,,"Ben-Shachar, Rotem; Koelle, Katia",J R Soc Interface,10.1098/rsif.2014.0886
HIV-1 Replication and the Cellular Eukaryotic Translation Apparatus,,"Guerrero, Santiago; Batisse, Julien; Libre, Camille; Bernacchi, Serena; Marquet, Roland; Paillart, Jean-Christophe",Viruses,10.3390/v7010199
Epimedium koreanum Nakai Displays Broad Spectrum of Antiviral Activity in Vitro and in Vivo by Inducing Cellular Antiviral State,,"Cho, Won-Kyung; Weeratunga, Prasanna; Lee, Byeong-Hoon; Park, Jun-Seol; Kim, Chul-Joong; Ma, Jin Yeul; Lee, Jong-Soo",Viruses,10.3390/v7010352
Cluster of Human Infections with Avian Influenza A (H7N9) Cases: A Temporal and Spatial Analysis,,"Zhang, Yi; Shen, Zhixiong; Ma, Chunna; Jiang, Chengsheng; Feng, Cindy; Shankar, Nivedita; Yang, Peng; Sun, Wenjie; Wang, Quanyi",Int J Environ Res Public Health,10.3390/ijerph120100816
Universal health coverage in ‘One ASEAN’: are migrants included?,,"Guinto, Ramon Lorenzo Luis R.; Curran, Ufara Zuwasti; Suphanchaimat, Rapeepong; Pocock, Nicola S.",Glob Health Action,10.3402/gha.v8.25749
Qualitative and Quantitative Analysis of the Major Constituents in Chinese Medical Preparation Lianhua-Qingwen Capsule by UPLC-DAD-QTOF-MS,,"Jia, Weina; Wang, Chunhua; Wang, Yuefei; Pan, Guixiang; Jiang, Miaomiao; Li, Zheng; Zhu, Yan",ScientificWorldJournal,10.1155/2015/731765
The RNA shapes studio,,"Janssen, Stefan; Giegerich, Robert",Bioinformatics,10.1093/bioinformatics/btu649
Safety and Immunogenicity of High Dose Trivalent Inactivated Influenza Vaccine in Pediatric Patients with Acute Lymphoblastic Leukemia,,"McManus, Meghann; Frangoul, Haydar; McCullers, Jonathan A.; Wang, Li; O'Shea, Alice; Halasa, Natasha",Pediatric Blood & Cancer,10.1002/pbc.24863
Comparative Analysis of the Intestinal Bacterial and RNA Viral Communities from Sentinel Birds Placed on Selected Broiler Chicken Farms,,"Day, J. Michael; Oakley, Brian B.; Seal, Bruce S.; Zsak, Laszlo",PLoS One,10.1371/journal.pone.0117210
Receptor Binding Domain Based HIV Vaccines,,"Liu, Huan; Bi, Wenwen; Wang, Qian; Lu, Lu; Jiang, Shibo",Biomed Res Int,10.1155/2015/594109
Annexin A2 as a target endothelial cell membrane autoantigen in Behçet's disease,,"Chen, Peng; Yan, Hai; Tian, Yaping; Xun, Yiping; Shi, Lili; Bao, Ran; Zhang, Huai; Chen, Guangyu; Yang, Chunhe; Sun, Shutao; Wang, Yajie; Liu, Li; Zhou, Yabin; Zhang, Chunyan; Wang, Xiaoxu; Wen, Yongqiang; Bian, Yongzhong; Du, Hongwu",Sci Rep,10.1038/srep08162
Polyionic vaccine adjuvants: another look at aluminum salts and polyelectrolytes,,"Powell, Bradford S.; Andrianov, Alexander K.; Fusco, Peter C.",Clin Exp Vaccine Res,10.7774/cevr.2015.4.1.23
Clinical vaccine development,,"Han, Seunghoon",Clin Exp Vaccine Res,10.7774/cevr.2015.4.1.46
Biosecurity and Dual-Use Research: Gaining Function – But at What Cost?,,"Vogel, Kathleen M.; Ozin, Amanda J.; Suk, Jonathan E.",Front Public Health,10.3389/fpubh.2015.00013
Evaluation of Border Entry Screening for Infectious Diseases in Humans,,"Selvey, Linda A.; Antão, Catarina; Hall, Robert",Emerg Infect Dis,10.3201/eid2102.131610
"Cluster of Middle East Respiratory Syndrome Coronavirus Infections in Iran, 2014",,"Yavarian, Jila; Rezaei, Farshid; Shadab, Azadeh; Soroush, Mahmood; Gooya, Mohammad Mehdi; Azad, Talat Mokhtari",Emerg Infect Dis,10.3201/eid2102.141405
"Influenza D Virus in Cattle, France, 2011–2014",,"Ducatez, Mariette F.; Pelletier, Claire; Meyer, Gilles",Emerg Infect Dis,10.3201/eid2102.141449
Is the Debate and “Pause” on Experiments That Alter Pathogens with Pandemic Potential Influencing Future Plans of Graduate Students and Postdoctoral Fellows?,,"Pfeiffer, Julie K.",mBio,10.1128/mbio.02525-14
Houttuynia cordata Targets the Beginning Stage of Herpes Simplex Virus Infection,,"Hung, Pei-Yun; Ho, Bing-Ching; Lee, Szu-Yuan; Chang, Sui-Yuan; Kao, Chuan-Liang; Lee, Shoei-Sheng; Lee, Chun-Nan",PLoS One,10.1371/journal.pone.0115475
Angiotensin-converting enzyme 2/angiotensin-(1–7)/Mas axis prevents lipopolysaccharide–induced apoptosis of pulmonary microvascular endothelial cells by inhibiting JNK/NF–κB pathways,,"Li, Yingchuan; Cao, Yongmei; Zeng, Zhen; Liang, Mengfan; Xue, Ying; Xi, Caihua; Zhou, Ming; Jiang, Wei",Sci Rep,10.1038/srep08209
Exploration of diarrhoea seasonality and its drivers in China,,"Xu, Zhiwei; Hu, Wenbiao; Zhang, Yewu; Wang, Xiaofeng; Zhou, Maigeng; Su, Hong; Huang, Cunrui; Tong, Shilu; Guo, Qing",Sci Rep,10.1038/srep08241
A confirmed severe case of human infection with avian-origin influenza H7N9: A case report,,"CAO, HUI-FANG; LIANG, ZHONG-HUI; FENG, YING; ZHANG, ZI-NAN; XU, JING; HE, HE",Exp Ther Med,10.3892/etm.2014.2159
On the Dark Side of Therapies with Immunoglobulin Concentrates: The Adverse Events,,"Späth, Peter J.; Granata, Guido; La Marra, Fabiola; Kuijpers, Taco W.; Quinti, Isabella",Front Immunol,10.3389/fimmu.2015.00011
"Resistance Prediction in AML: Analysis of 4,601 Patients from MRC/NCRI, HOVON/SAKK, SWOG, and MD Anderson Cancer Center",,"Walter, Roland B.; Othus, Megan; Burnett, Alan K.; Löwenberg, Bob; Kantarjian, Hagop M.; Ossenkoppele, Gert J.; Hills, Robert K.; Ravandi, Farhad; Pabst, Thomas; Evans, Anna; Pierce, Sherry R.; Vekemans, Marie-Christiane; Appelbaum, Frederick R.; Estey, Elihu H.",Leukemia,10.1038/leu.2014.242
Safety and Immunogenicity of DNA Vaccines Encoding Ebolavirus and Marburgvirus Wild-Type Glycoproteins in a Phase I Clinical Trial,,"Sarwar, Uzma N.; Costner, Pamela; Enama, Mary E.; Berkowitz, Nina; Hu, Zonghui; Hendel, Cynthia S.; Sitar, Sandra; Plummer, Sarah; Mulangu, Sabue; Bailer, Robert T.; Koup, Richard A.; Mascola, John R.; Nabel, Gary J.; Sullivan, Nancy J.; Graham, Barney S.; Ledgerwood, Julie E.",Journal of Infectious Diseases,10.1093/infdis/jiu511
Symptomatic and Asymptomatic Respiratory Viral Infections in the First Year of Life: Association With Acute Otitis Media Development,,"Chonmaitree, Tasnee; Alvarez-Fernandez, Pedro; Jennings, Kristofer; Trujillo, Rocio; Marom, Tal; Loeffelholz, Michael J.; Miller, Aaron L.; McCormick, David P.; Patel, Janak A.; Pyles, Richard B.",Clinical Infectious Diseases,10.1093/cid/ciu714
Mass fatality preparedness among medical examiners/coroners in the United States: a cross-sectional study,,"Gershon, Robyn RM; Orr, Mark G; Zhi, Qi; Merrill, Jacqueline A; Chen, Daniel Y; Riley, Halley EM; Sherman, Martin F",BMC Public Health,10.1186/1471-2458-14-1275
In Vitro Bactericidal Activity of 4- and 5-Chloro-2-hydroxy-N-[1-oxo-1-(phenylamino)alkan-2-yl]benzamides against MRSA,,"Zadrazilova, Iveta; Pospisilova, Sarka; Pauk, Karel; Imramovsky, Ales; Vinsova, Jarmila; Cizek, Alois; Jampilek, Josef",Biomed Res Int,10.1155/2015/349534
Estimation of MERS-Coronavirus Reproductive Number and Case Fatality Rate for the Spring 2014 Saudi Arabia Outbreak: Insights from Publicly Available Data,,"Majumder, Maimuna S.; Rivers, Caitlin; Lofgren, Eric; Fisman, David",PLoS Curr,10.1371/currents.outbreaks.98d2f8f3382d84f390736cd5f5fe133c
Respiratory Syncytial Virus Outbreak in the Basic Military Training Camp of the Republic of Korea Air Force,,"Park, Won-Ju; Yoo, Seok-Ju; Lee, Suk-Ho; Chung, Jae-Woo; Jang, Keun-Ho; Moon, Jai-Dong",J Prev Med Public Health,10.3961/jpmph.14.037
"Public, environmental, and occupational health research activity in Arab countries: bibliometric, citation, and collaboration analysis",,"Sweileh, Waleed M; Zyoud, Sa’ed H; Al-Jabi, Samah W; Sawalha, Ansam F",Arch Public Health,10.1186/2049-3258-73-1
Spatial pattern of severe acute respiratory syndrome in-out flow in 2003 in Mainland China,,"Xu, Chengdong; Wang, Jinfeng; Wang, Li; Cao, Chunxiang",BMC Infect Dis,10.1186/s12879-014-0721-y
An integrative approach to enhancing small-scale poultry slaughterhouses by addressing regulations and food safety in northern -Thailand,,"Chotinun, Suwit; Rojanasthien, Suvichai; Unger, Fred; Suwan, Manat; Tadee, Pakpoom; Patchanee, Prapas",Infect Dis Poverty,10.1186/2049-9957-3-46
"Estimating Potential Incidence of MERS-CoV Associated with Hajj Pilgrims to Saudi Arabia, 2014",,"Lessler, Justin; Rodriguez-Barraquer, Isabel; Cummings, Derek A.T.; Garske, Tini; Van Kerkhove, Maria; Mills, Harriet; Truelove, Shaun; Hakeem, Rafat; Albarrak, Ali; Ferguson, Neil M.",PLoS Curr,10.1371/currents.outbreaks.c5c9c9abd636164a9b6fd4dbda974369
Reply to “Studies on Influenza Virus Transmission between Ferrets: the Public Health Risks Revisited”,,"Lipsitch, Marc; Inglesby, Thomas V.",mBio,10.1128/mbio.00041-15
Studies on Influenza Virus Transmission between Ferrets: the Public Health Risks Revisited,,"Fouchier, Ron A. M.",mBio,10.1128/mbio.02560-14
Generation of Human B-Cell Lines Dependent on CD40-Ligation and Interleukin-4,,"Banchereau, Jacques",Front Immunol,10.3389/fimmu.2015.00055
"Genomics and Proteomics of Mycobacteriophage Patience, an Accidental Tourist in the Mycobacterium Neighborhood",,"Pope, Welkin H.; Jacobs-Sera, Deborah; Russell, Daniel A.; Rubin, Daniel H. F.; Kajee, Afsana; Msibi, Zama N. P.; Larsen, Michelle H.; Jacobs, William R.; Lawrence, Jeffrey G.; Hendrix, Roger W.; Hatfull, Graham F.",mBio,10.1128/mbio.02145-14
Nelfinavir Impairs Glycosylation of Herpes Simplex Virus 1 Envelope Proteins and Blocks Virus Maturation,,"Gantt, Soren; Gachelet, Eliora; Carlsson, Jacquelyn; Barcy, Serge; Casper, Corey; Lagunoff, Michael",Adv Virol,10.1155/2015/687162
Conformational B-Cell Epitope Prediction Method Based on Antigen Preprocessing and Mimotopes Analysis,,"Sun, Pingping; Ju, Haixu; Zhang, Baowen; Gu, Yu; Liu, Bo; Huang, Yanxin; Zhang, Huijie; Li, Yuxin",Biomed Res Int,10.1155/2015/257030
Online health information – what the newspapers tell their readers: a systematic content analysis,,"McCaw, Brian A; McGlade, Kieran J; McElnay, James C",BMC Public Health,10.1186/1471-2458-14-1316
Assessment of research productivity of Arab countries in the field of infectious diseases using Web of Science database,,"Sweileh, Waleed M; Al-Jabi, Samah W; Abuzanat, Alaeddin; Sawalha, Ansam F; AbuTaha, Adham S; Ghanim, Mustafa A; Zyoud, Sa’ed H",Infect Dis Poverty,10.1186/2049-9957-4-2
Macrophages at the Fork in the Road to Health or Disease,,"Mills, Charles D.; Lenz, Laurel L.; Ley, Klaus",Front Immunol,10.3389/fimmu.2015.00059
RPI-Pred: predicting ncRNA-protein interaction using sequence and structural information,,"Suresh, V.; Liu, Liang; Adjeroh, Donald; Zhou, Xiaobo",Nucleic Acids Res,10.1093/nar/gkv020
Directed Evolution of a Yeast-Displayed HIV-1 SOSIP gp140 Spike Protein toward Improved Expression and Affinity for Conformational Antibodies,,"Grimm, Sebastian K.; Battles, Michael B.; Ackerman, Margaret E.",PLoS One,10.1371/journal.pone.0117227
Genomic Characterization of Novel Circular ssDNA Viruses from Insectivorous Bats in Southern Brazil,,"Lima, Francisco Esmaile de Sales; Cibulski, Samuel Paulo; dos Santos, Helton Fernandes; Teixeira, Thais Fumaco; Varela, Ana Paula Muterle; Roehe, Paulo Michel; Delwart, Eric; Franco, Ana Cláudia",PLoS One,10.1371/journal.pone.0118070
Contrasting clinical outcomes in two cohorts of cats naturally infected with feline immunodeficiency virus (FIV),,"Bęczkowski, Paweł M.; Litster, Annette; Lin, Tsang Long; Mellor, Dominic J.; Willett, Brian J.; Hosie, Margaret J.",Vet Microbiol,10.1016/j.vetmic.2014.12.023
Comparison of risk factors for seropositivity to feline immunodeficiency virus and feline leukemia virus among cats: a case-case study,,"Chhetri, Bimal K; Berke, Olaf; Pearl, David L; Bienzle, Dorothee",BMC Vet Res,10.1186/s12917-015-0339-3
Acquired immunity and asymptomatic reservoir impact on frontline and airport ebola outbreak syndromic surveillance and response,,"Tambo, Ernest; Xiao-Nong, Zhou",Infect Dis Poverty,10.1186/2049-9957-3-41
"Unrealistic Optimism, Sex, and Risk Perception of Type 2 Diabetes Onset: Implications for Education Programs",,"Reyes-Velázquez, Wanda; Sealey-Potts, Claudia",Diabetes Spectr,10.2337/diaspect.28.1.5
Evolution of Genome Size and Complexity in the Rhabdoviridae,,"Walker, Peter J.; Firth, Cadhla; Widen, Steven G.; Blasdell, Kim R.; Guzman, Hilda; Wood, Thomas G.; Paradkar, Prasad N.; Holmes, Edward C.; Tesh, Robert B.; Vasilakis, Nikos",PLoS Pathog,10.1371/journal.ppat.1004664
Correction: Coronavirus Cell Entry Occurs through the Endo-/Lysosomal Pathway in a Proteolysis-Dependent Manner,,,PLoS Pathog,10.1371/journal.ppat.1004709
Investigating the introduction of porcine epidemic diarrhea virus into an Ohio swine operation,,"Bowman, Andrew S; Krogwold, Roger A; Price, Todd; Davis, Matt; Moeller, Steven J",BMC Vet Res,10.1186/s12917-015-0348-2
Human Ebola virus infection in West Africa: a review of available therapeutic agents that target different steps of the life cycle of Ebola virus,,"Lai, Kang Yiu; Ng, Wing Yiu George; Cheng, Fan Fanny",Infect Dis Poverty,10.1186/2049-9957-3-43
Role of Pentraxin 3 in Shaping Arthritogenic Alphaviral Disease: From Enhanced Viral Replication to Immunomodulation,,"Foo, Suan-Sin; Chen, Weiqiang; Taylor, Adam; Sheng, Kuo-Ching; Yu, Xing; Teng, Terk-Shin; Reading, Patrick C.; Blanchard, Helen; Garlanda, Cecilia; Mantovani, Alberto; Ng, Lisa F. P.; Herrero, Lara J.; Mahalingam, Suresh",PLoS Pathog,10.1371/journal.ppat.1004649
Murine Norovirus 1 (MNV1) Replication Induces Translational Control of the Host by Regulating eIF4E Activity during Infection,,"Royall, Elizabeth; Doyle, Nicole; Abdul-Wahab, Azimah; Emmott, Ed; Morley, Simon J.; Goodfellow, Ian; Roberts, Lisa O.; Locker, Nicolas",J Biol Chem,10.1074/jbc.m114.602649
Small molecules with antiviral activity against the Ebola virus,,"Litterman, Nadia; Lipinski, Christopher; Ekins, Sean",F1000Res,10.12688/f1000research.6120.1
Visualization of HTLV-1–Specific Cytotoxic T Lymphocytes in the Spinal Cords of Patients With HTLV-1–Associated Myelopathy/Tropical Spastic Paraparesis,,"Matsuura, Eiji; Kubota, Ryuji; Tanaka, Yuetsu; Takashima, Hiroshi; Izumo, Shuji",J Neuropathol Exp Neurol,10.1097/nen.0000000000000141
The Nucleocapsid Protein of Human Coronavirus NL63,,"Zuwała, Kaja; Golda, Anna; Kabala, Wojciech; Burmistrz, Michał; Zdzalik, Michal; Nowak, Paulina; Kedracka-Krok, Sylwia; Zarebski, Mirosław; Dobrucki, Jerzy; Florek, Dominik; Zeglen, Sławomir; Wojarski, Jacek; Potempa, Jan; Dubin, Grzegorz; Pyrc, Krzysztof",PLoS One,10.1371/journal.pone.0117833
Comparable mRNA expression of inflammatory markers but lower claudin-1 mRNA levels in foreskin tissue of HSV-2 seropositive versus seronegative asymptomatic Kenyan young men,,"Röhl, Maria; Tjernlund, Annelie; Mehta, Supriya D; Pettersson, Pernilla; Bailey, Robert C; Broliden, Kristina",BMJ Open,10.1136/bmjopen-2014-006627
Targeting interferon response genes sensitizes aromatase inhibitor resistant breast cancer cells to estrogen-induced cell death,,"Choi, Hye Joung; Lui, Asona; Ogony, Joshua; Jan, Rifat; Sims, Peter J; Lewis-Wambi, Joan",Breast Cancer Res,10.1186/s13058-014-0506-7
Systems-Based Analysis of the Sarcocystis neurona Genome Identifies Pathways That Contribute to a Heteroxenous Life Cycle,,"Blazejewski, Tomasz; Nursimulu, Nirvana; Pszenny, Viviana; Dangoudoubiyam, Sriveny; Namasivayam, Sivaranjani; Chiasson, Melissa A.; Chessman, Kyle; Tonkin, Michelle; Swapna, Lakshmipuram S.; Hung, Stacy S.; Bridgers, Joshua; Ricklefs, Stacy M.; Boulanger, Martin J.; Dubey, Jitender P.; Porcella, Stephen F.; Kissinger, Jessica C.; Howe, Daniel K.; Grigg, Michael E.; Parkinson, John",mBio,10.1128/mbio.02445-14
Aberrant expression of long noncoding RNAs in chronic thromboembolic pulmonary hypertension,,"GU, SONG; LI, GUANGHUI; ZHANG, XITAO; YAN, JUN; GAO, JIE; AN, XIANGGUANG; LIU, YAN; SU, PIXIONG",Mol Med Rep,10.3892/mmr.2014.3102
Effectiveness of traveller screening for emerging pathogens is shaped by epidemiology and natural history of infection,,"Gostic, Katelyn M; Kucharski, Adam J; Lloyd-Smith, James O",,10.7554/elife.05564
First Discovery of Acetone Extract from Cottonseed Oil Sludge as a Novel Antiviral Agent against Plant Viruses,,"Zhao, Lei; Feng, Chaohong; Hou, Caiting; Hu, Lingyun; Wang, Qiaochun; Wu, Yunfeng",PLoS One,10.1371/journal.pone.0117496
Analysis of Cathepsin and Furin Proteolytic Enzymes Involved in Viral Fusion Protein Activation in Cells of the Bat Reservoir Host,,"El Najjar, Farah; Lampe, Levi; Baker, Michelle L.; Wang, Lin-Fa; Dutch, Rebecca Ellis",PLoS One,10.1371/journal.pone.0115736
Structural analysis of herpes simplex virus by optical super-resolution imaging,,"Laine, Romain F.; Albecka, Anna; van de Linde, Sebastian; Rees, Eric J.; Crump, Colin M.; Kaminski, Clemens F.",Nat Commun,10.1038/ncomms6980
Pilgrims and MERS-CoV: what’s the risk?,,"Soliman, Tarek; Cook, Alex R; Coker, Richard J",Emerg Themes Epidemiol,10.1186/s12982-015-0025-8
Network representations of immune system complexity,,"Subramanian, Naeha; Torabi-Parizi, Parizad; Gottschalk, Rachel A.; Germain, Ronald N.; Dutta, Bhaskar",Wiley Interdisciplinary Reviews: Systems Biology and Medicine,10.1002/wsbm.1288
Humanitarian Access to Unapproved Interventions in Public Health Emergencies of International Concern,,"Singh, Jerome Amir",PLoS Med,10.1371/journal.pmed.1001793
Tough challenges for testing Ebola therapeutics,,,Bull World Health Organ,10.2471/blt.15.020215
Diffuse parenchymal lung disease as first clinical manifestation of GATA-2 deficiency in childhood,,"Svobodova, Tamara; Mejstrikova, Ester; Salzer, Ulrich; Sukova, Martina; Hubacek, Petr; Matej, Radoslav; Vasakova, Martina; Hornofova, Ludmila; Dvorakova, Marcela; Fronkova, Eva; Votava, Felix; Freiberger, Tomas; Pohunek, Petr; Stary, Jan; Janda, Ales",BMC Pulm Med,10.1186/s12890-015-0006-2
Emerging and re-emerging infectious diseases: challenges and opportunities for militaries,,"Ho, Zheng Jie Marc; Hwang, Yi Fu Jeff; Lee, Jian Ming Vernon",Mil Med Res,10.1186/2054-9369-1-21
Effects of Storage Time on Total Protein and Globulin Concentrations in Bovine Fresh Frozen Plasma Obtained for Transfusion,,"Proverbio, D.; Spada, E.; Baggiani, L.; Bagnagatti De Giorgi, G.; Roggero, N.; Belloli, A.; Pravettoni, D.; Perego, R.",ScientificWorldJournal,10.1155/2015/752724
Viral etiology of community-acquired pneumonia among adolescents and adults with mild or moderate severity and its relation to age and severity,,"Qu, Jiu-Xin; Gu, Li; Pu, Zeng-Hui; Yu, Xiao-Min; Liu, Ying-Mei; Li, Ran; Wang, Yi-Min; Cao, Bin; Wang, Chen",BMC Infect Dis,10.1186/s12879-015-0808-0
"Drainage systems, an occluded source of sanitation related outbreaks",,"Blom, Kristina",Arch Public Health,10.1186/s13690-014-0056-6
Virus-Like Particles Activate Type I Interferon Pathways to Facilitate Post-Exposure Protection against Ebola Virus Infection,,"Ayithan, Natarajan; Bradfute, Steven B.; Anthony, Scott M.; Stuthman, Kelly S.; Bavari, Sina; Bray, Mike; Ozato, Keiko",PLoS One,10.1371/journal.pone.0118345
"New Insights into Flavivirus Evolution, Taxonomy and Biogeographic History, Extended by Analysis of Canonical and Alternative Coding Sequences",,"Moureau, Gregory; Cook, Shelley; Lemey, Philippe; Nougairede, Antoine; Forrester, Naomi L.; Khasnatinov, Maxim; Charrel, Remi N.; Firth, Andrew E.; Gould, Ernest A.; de Lamballerie, Xavier",PLoS One,10.1371/journal.pone.0117849
